,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-07-18,973.3600,990.8500,972.0400,986.9500,986.9500,1398920,0.0000,1.0000
2017-07-19,990.0100,995.6000,987.0100,992.7700,992.7700,1392709,0.0000,1.0000
2017-07-20,997.0000,998.6800,984.6200,992.1900,992.1900,1410290,0.0000,1.0000
2017-07-21,989.0000,995.1100,984.1700,993.8400,993.8400,1412108,0.0000,1.0000
2017-07-24,994.1000,1006.1900,990.2728,998.3100,998.3100,3053176,0.0000,1.0000
2017-07-25,970.7000,976.7300,963.8000,969.0300,969.0300,5793414,0.0000,1.0000
2017-07-26,972.7800,973.9500,960.2300,965.3100,965.3100,2166225,0.0000,1.0000
2017-07-27,969.1800,969.5200,937.0600,952.5100,952.5100,3685905,0.0000,1.0000
2017-07-28,947.9900,961.7900,945.3100,958.3300,958.3300,1795477,0.0000,1.0000
2017-07-31,960.0000,961.1925,941.7250,945.5000,945.5000,2268160,0.0000,1.0000
2017-08-01,947.8100,954.4900,944.9600,946.5600,946.5600,1205799,0.0000,1.0000
2017-08-02,948.3700,949.1000,932.5210,947.6400,947.6400,2019979,0.0000,1.0000
2017-08-03,949.1000,950.0000,939.4400,940.3000,940.3000,1028591,0.0000,1.0000
2017-08-04,943.9500,947.5400,939.7950,945.7900,945.7900,1192871,0.0000,1.0000
2017-08-07,947.5200,948.9600,943.5000,945.7500,945.7500,1405132,0.0000,1.0000
2017-08-08,944.2900,952.4900,942.4800,944.1900,944.1900,1438418,0.0000,1.0000
2017-08-09,938.4500,943.7600,933.9200,940.0800,940.0800,1360604,0.0000,1.0000
2017-08-10,935.0000,936.3000,921.7768,923.5900,923.5900,2657279,0.0000,1.0000
2017-08-11,923.7100,933.3600,921.2200,930.0900,930.0900,1589808,0.0000,1.0000
2017-08-14,939.0700,941.0400,934.4850,938.9300,938.9300,1140212,0.0000,1.0000
2017-08-15,941.0300,943.0700,936.6400,938.0800,938.0800,1006064,0.0000,1.0000
2017-08-16,941.2500,949.9000,940.0391,944.2700,944.2700,1329301,0.0000,1.0000
2017-08-17,942.9500,943.8100,927.6400,927.6600,927.6600,1653779,0.0000,1.0000
2017-08-18,926.9800,931.0200,923.4500,926.1800,926.1800,1327288,0.0000,1.0000
2017-08-21,925.7700,928.2500,918.6000,920.8700,920.8700,1292624,0.0000,1.0000
2017-08-22,926.9600,941.9617,926.1700,940.4000,940.4000,1711377,0.0000,1.0000
2017-08-23,937.0000,945.4250,935.2400,942.5800,942.5800,1126487,0.0000,1.0000
2017-08-24,943.7100,946.3100,930.7400,936.8900,936.8900,1249098,0.0000,1.0000
2017-08-25,939.2100,940.7300,930.1000,930.5000,930.5000,1169101,0.0000,1.0000
2017-08-28,931.8800,934.8500,926.1100,928.1300,928.1300,1025199,0.0000,1.0000
2017-08-29,919.9500,938.1900,919.3100,935.7500,935.7500,1144834,0.0000,1.0000
2017-08-30,935.6700,945.8600,934.0500,943.6300,943.6300,1112814,0.0000,1.0000
2017-08-31,946.3000,957.1950,946.2500,955.2400,955.2400,1672387,0.0000,1.0000
2017-09-01,957.4700,958.3300,950.2800,951.9900,951.9900,1034769,0.0000,1.0000
2017-09-05,946.8600,951.3854,935.6000,941.4800,941.4800,1455058,0.0000,1.0000
