,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2012-11-20,230.0000,233.8200,229.5000,233.7800,233.7800,2771700,0.0000,1.0000
2012-11-21,233.8400,238.6700,232.7500,238.0300,238.0300,2959300,0.0000,1.0000
2012-11-23,239.8900,240.0000,236.4800,239.8800,239.8800,1776800,0.0000,1.0000
2012-11-26,240.3900,244.3190,238.0000,243.6200,243.6200,4178300,0.0000,1.0000
2012-11-27,243.2200,245.6700,241.5400,243.4017,243.4017,3048500,0.0000,1.0000
2012-11-28,242.4500,247.2300,241.5040,247.1100,247.1100,2743400,0.0000,1.0000
2012-11-29,248.0500,252.4800,247.5000,251.2700,251.2700,5310500,0.0000,1.0000
2012-11-30,250.3800,252.6500,248.2700,252.0500,252.0500,3797400,0.0000,1.0000
2012-12-03,252.5400,254.1600,250.0000,250.3291,250.3291,2990600,0.0000,1.0000
2012-12-04,249.9400,253.0000,248.6600,252.4881,252.4881,3114700,0.0000,1.0000
2012-12-05,252.4400,255.5500,250.3800,253.9600,253.9600,2852200,0.0000,1.0000
2012-12-06,253.0000,255.1700,251.5100,253.3700,253.3700,3557900,0.0000,1.0000
2012-12-07,254.1400,255.2100,252.0100,253.2681,253.2681,2170300,0.0000,1.0000
2012-12-10,253.1000,254.7800,247.3000,247.7700,247.7700,3503800,0.0000,1.0000
2012-12-11,248.5000,253.4800,246.6500,250.6900,250.6900,4185200,0.0000,1.0000
2012-12-12,251.0700,254.3600,250.0600,251.7600,251.7600,2628100,0.0000,1.0000
2012-12-13,251.1100,254.5400,250.0200,251.2500,251.2500,2460200,0.0000,1.0000
2012-12-14,250.1100,251.9000,247.7900,249.1900,249.1900,2526900,0.0000,1.0000
2012-12-17,249.8100,254.0000,249.2600,253.8600,253.8600,2277000,0.0000,1.0000
2012-12-18,254.5700,263.1100,254.5700,260.4000,260.4000,4961000,0.0000,1.0000
2012-12-19,261.3000,261.6699,257.6800,257.9900,257.9900,2300000,0.0000,1.0000
2012-12-20,258.3600,262.4100,256.5400,261.5000,261.5000,2584600,0.0000,1.0000
2012-12-21,257.8200,258.3800,255.7400,256.9200,256.9200,4704600,0.0000,1.0000
2012-12-24,257.3000,259.5000,256.9600,258.6200,258.6200,984400,0.0000,1.0000
2012-12-26,257.1500,257.4200,248.0400,248.6314,248.6314,4152700,0.0000,1.0000
2012-12-27,248.2800,249.3500,242.8600,248.3100,248.3100,3639300,0.0000,1.0000
2012-12-28,245.8500,247.4400,245.0500,245.1800,245.1800,1858700,0.0000,1.0000
2012-12-31,243.7500,252.4100,242.7500,250.8700,250.8700,3419000,0.0000,1.0000
2013-01-02,256.0800,258.0999,253.2600,257.3100,257.3100,3271000,0.0000,1.0000
2013-01-03,257.2700,260.8800,256.3700,258.4800,258.4800,2750900,0.0000,1.0000
2013-01-04,257.5800,259.8000,256.6500,259.1500,259.1500,1874200,0.0000,1.0000
2013-01-07,262.9700,269.7250,262.6700,268.4592,268.4592,4910000,0.0000,1.0000
2013-01-08,267.0700,268.9800,263.5670,266.3800,266.3800,3010700,0.0000,1.0000
2013-01-09,268.1700,269.5000,265.4010,266.3500,266.3500,2265600,0.0000,1.0000
2013-01-10,268.5400,268.7400,262.3000,265.3400,265.3400,2863400,0.0000,1.0000
2013-01-11,265.1000,268.4300,264.1100,267.9400,267.9400,2413300,0.0000,1.0000
2013-01-14,268.0000,274.2600,267.5400,272.7300,272.7300,4275000,0.0000,1.0000
2013-01-15,270.6800,272.7300,269.3000,271.9000,271.9000,2326900,0.0000,1.0000
2013-01-16,270.5300,271.2400,267.8300,268.9300,268.9300,2065600,0.0000,1.0000
2013-01-17,271.4300,271.9700,269.2100,270.4800,270.4800,1884600,0.0000,1.0000
2013-01-18,270.8300,274.5000,269.6000,272.1200,272.1200,2942000,0.0000,1.0000
2013-01-22,271.6200,272.1000,269.2300,270.1900,270.1900,2137700,0.0000,1.0000
2013-01-23,270.5700,271.0900,266.6500,268.1100,268.1100,2508900,0.0000,1.0000
2013-01-24,269.3700,276.6500,269.3700,273.6200,273.6200,3417000,0.0000,1.0000
2013-01-25,275.0000,284.7200,274.4000,283.9900,283.9900,4968100,0.0000,1.0000
2013-01-28,283.7800,284.4800,274.4000,276.0400,276.0400,4321400,0.0000,1.0000
2013-01-29,275.3500,275.4600,258.3500,260.3500,260.3500,10172600,0.0000,1.0000
2013-01-30,283.0000,284.2000,267.1100,272.7640,272.7640,13075400,0.0000,1.0000
2013-01-31,271.0400,275.9400,263.6991,265.5000,265.5000,6772100,0.0000,1.0000
2013-02-01,268.9300,268.9300,262.8000,265.0000,265.0000,6115000,0.0000,1.0000
2013-02-04,262.7800,264.6840,259.0700,259.9800,259.9800,3723600,0.0000,1.0000
2013-02-05,262.0000,268.0300,261.4600,266.8900,266.8900,4012900,0.0000,1.0000
2013-02-06,265.1600,266.8900,261.1100,262.2200,262.2200,2770400,0.0000,1.0000
2013-02-07,264.1000,264.1000,255.1100,260.2300,260.2300,3975700,0.0000,1.0000
2013-02-08,261.4000,265.2500,260.5550,261.9500,261.9500,3879200,0.0000,1.0000
